OBJECTID,Join_Count,TARGET_FID,Source,OutletID,Name,Address,Parish,PlusCode,Latitude,Longitude,Category,Healthy,BusinessOnGoogleMaps,Notes,OBJECTID_1,ID3,ENUM_NO1,PARISHNAM1,POPULATION,MALES,FEMALE,PARISH,OUTLET_Cat,Unhealthy1,Healthy1
1,1,1,Google Maps,R1,6Mix Bar + Kitchen,"Worthing Main Road, Christ Church",Christ Church,78523CCC+4W,13.070313,-59.577687,Full Service,Healthy,yes,,356,357,203,Christ Churc,310,138,172,Christ Churc,Full Service,0,0
2,1,2,Find Yello Directory,R3,Ackee Tree restaurant,"Rendezvous, Christ Church",Christ Church,78523CC9+V6,13.072188,-59.581937,Limited Service,Unhealthy,yes,,352,353,199,Christ Churc,75,32,43,Christ Churc,Limited Service,1,0
3,1,3,Find Yello Directory,R6,Apsara Restaurant Barbados Ltd,"Waverley, St. Lawrence, Christ Church",Christ Church,78523C9G+26,13.067563,-59.574438,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
4,1,4,Find Yello Directory,R7,Arabian Knights,"2B, Sheraton Mall, Christ Church",Christ Church,78523CMM+88,13.083312,-59.566688,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
5,1,5,Find Yello Directory,R8,Asian Palm Restaurant,"Bayside Plaza, Bay Street, St. Michael",St. Michael,785239MR+3Q,13.082688,-59.608063,Limited Service,Unhealthy,yes,,126,126,148,St. Michael,158,76,82,St. Michael,Limited Service,1,0
6,1,6,Find Yello Directory,R9,Asian Spice Indian Restaurant,"Palm Avenue, Sunset Crest, St. James",St. James,785259H7+4R,13.177812,-59.635438,Full Service,Healthy,yes,,196,196,442,St. James,81,42,39,St. James,Full Service,0,0
7,1,7,Find Yello Directory,R10,Atlantis Hotel and Restaurant,"Tent Bay, Bathsheba, St. Joseph",St. Joseph,78526F6P+C8,13.211063,-59.514187,Full Service,Healthy,yes,,250,250,514,St. Joseph,360,182,178,St. Joseph,Full Service,0,0
8,1,8,Find Yello Directory,R13,Barbados Beach Club,"Maxwell Coast Road, Christ Church",Christ Church,78523C8R+9M,13.065938,-59.558312,Full Service,Healthy,yes,,375,376,225,Christ Churc,137,67,70,Christ Churc,Full Service,0,0
9,1,9,Find Yello Directory,R15,Bay Tavern,"Martin's Bay, New Castle, St. John",St. John,78525GW3+XW,13.197437,-59.495188,Full Service,Healthy,yes,,561,562,399,St. John,245,122,123,St. John,Full Service,0,0
10,1,10,Find Yello Directory,R16,Beck's Bar & Restaurant,"Wildey Main Road, Christ Church",Christ Church,78523CR9+36,13.090187,-59.581937,Limited Service,Unhealthy,yes,,347,348,194,Christ Churc,371,172,199,Christ Churc,Limited Service,1,0
11,1,11,Find Yello Directory,R17,Beijing Chinese Restaurant-Six Roads,Six Roads. St. Philip,St. Philip,78524G8H+W6,13.117313,-59.471937,Limited Service,Unhealthy,yes,,556,557,375,St. Philip,525,235,290,St. Philip,Limited Service,1,0
12,1,12,Find Yello Directory,R19,Blakey's Bar & Restaurant,"Hastings Main Road, Christ Church",Christ Church,78523CF3+J3,13.074063,-59.597313,Full Service,Healthy,yes,,337,338,184,Christ Churc,215,103,112,Christ Churc,Full Service,0,0
13,1,13,Find Yello Directory,R21,Bombas Beach Bar,"Mullins, St. Peter",St. Peter,785269M4+XX,13.234938,-59.642563,Limited Service,Unhealthy,yes,,276,276,545,St. Peter,206,93,113,St. Peter,Limited Service,1,0
14,1,14,Find Yello Directory,R24,Bubba's Sports Bar & Restaurant,"Highway 7, Christ Church",Christ Church,78523CG5+2M,13.075062,-59.590812,Full Service,Healthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Full Service,0,0
15,1,15,Find Yello Directory,R26,Burger King-Sky Mall,"Haggatt Hall, St. Michael",St. Michael,78524C4C+H9,13.106438,-59.579062,Limited Service,Unhealthy,yes,,172,172,178,St. Michael,509,241,268,St. Michael,Limited Service,1,0
16,1,16,Find Yello Directory,R27,Burger King-Bridge street,"Bridge Street, Bridgetown, St, Michael",St. Michael,785239WP+MR,13.096687,-59.612938,Limited Service,Unhealthy,yes,,108,108,2,St. Michael,613,331,282,St. Michael,Limited Service,1,0
17,1,17,Find Yello Directory,R28,Burger King-Trident House,"Lower Broad Street, Bridgetown, St. Michael",St. Michael,785239XM+45,13.097812,-59.617063,Limited Service,Unhealthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Limited Service,1,0
18,1,18,Find Yello Directory,R29,Burger King-Sheraton Mall,"Sargents Village, Christ Church",Christ Church,78523CMM+49,13.082812,-59.566563,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
19,0,19,Find Yello Directory,R30,Burger King-Dome Mall,"Dome Mall, Warrens, St. Michael",St. Michael,785249RV+F3,13.141188,59.607312,Limited Service,Unhealthy,yes,,,,,,,,,,Limited Service,1,0
20,1,20,Find Yello Directory,R32,Buzo Osteria Italiana,"Hasting Main Road, Chirst Church",Christ Church,78523CF2+R9,13.074562,-59.599063,Full Service,Healthy,yes,,337,338,184,Christ Churc,215,103,112,Christ Churc,Full Service,0,0
21,1,21,Find Yello Directory,R33,Cafe Luna,"Enterprise Beach Road, Oistins, Christ Church",Christ Church,78523F56+QR,13.059437,-59.537937,Full Service,Healthy,yes,,419,420,284,Christ Churc,134,63,71,Christ Churc,Full Service,0,0
22,1,22,Find Yello Directory,R35,Cafe Sol Mexican Grill & Magarita Bar,"St. Lawrence Gap, Oistins, Christ Church",Chirst Church,78523C9F+HQ,13.068938,-59.575563,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
23,1,23,Find Yello Directory,R37,Cariba Restaurant & Bar,"Highway 1, St. James",St. James,78525947+CC,13.156063,-59.636437,Full Service,Healthy,yes,,221,221,475,St. James,190,80,110,St. James,Full Service,0,0
24,1,24,Find Yello Directory,R39,Castaways Bar & Grill,"St. Lawrence Gap, Oistins, Christ Church",Christ Church,78523C9F+HM,13.068938,-59.575813,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
25,1,25,Find Yello Directory,R40,Champers,"Skeetes Hill, Christ Church",Christ CHurch,78523CC7+V6,13.072188,-59.586938,Full Service,Healthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Full Service,0,0
26,1,26,Find Yello Directory,R41,Chefette Restaurants Ltd- Harbour Road,"Harbour Road, Bridgetown, St. Michael",St. Michael,7852492G+78,13.100687,-59.624188,Limited Service,Unhealthy,yes,,10,10,12,St. Michael,527,274,253,St. Michael,Limited Service,1,0
27,1,27,Find Yello Directory,R42,Chefette Restaurants Ltd- Broad Street,"Broad Street, Bridgetown, St. Michael",St. Michael,785239WJ+XX,13.097437,-59.617562,Limited Service,Unhealthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Limited Service,1,0
28,1,28,Find Yello Directory,R43,Chefette Restaurants Ltd- Black Rock,"Black Rock Main Road, St. Michael",St. Michael,7852498M+R7,13.117062,-59.616813,Limited Service,Unhealthy,yes,,75,75,97,St. Michael,299,137,162,St. Michael,Limited Service,1,0
29,1,29,Find Yello Directory,R44,Chefette Restaurants Ltd- Charles Rowe Bridge,"Charles Rowe Bridge, St. George",St. George,78524CHJ+J2,13.129062,-59.569938,Limited Service,Unhealthy,yes,,572,573,315,St. George,312,153,159,St. George,Limited Service,1,0
30,1,30,Find Yello Directory,R45,Chefette Restaurants Ltd- Airport,"Grantley Adams International Airport, Christ Church",Chirst Church,78523GJ6+3V,13.080188,-59.487813,Limited Service,Unhealthy,yes,,534,535,268,Christ Churc,256,122,134,Christ Churc,Limited Service,1,0
31,1,31,Find Yello Directory,R46,Chefette Restaurants Ltd- Lancaster,"Highway 2A, Lancaster, St. James",St. James,7852692M+6R,13.200563,-59.615437,Limited Service,Unhealthy,yes,,191,191,436,St. James,599,287,312,St. James,Limited Service,1,0
32,1,32,Find Yello Directory,R47,Chefette Restaurants Ltd- Marhill,"Marhill Street, Bridgetown, St. Michael",St. Michael,785239WP+WM,13.097313,-59.613312,Limited Service,Unhealthy,yes,,2,2,3,St. Michael,372,198,174,St. Michael,Limited Service,1,0
33,1,33,Find Yello Directory,R48,Chefette Restaurants Ltd- Oistins,"Oistins Main Road, Oistins, Christ Church",Chirst Church,78523F74+PF,13.064312,-59.543813,Limited Service,Unhealthy,yes,,379,380,229,Christ Churc,326,173,153,Christ Churc,Limited Service,1,0
34,1,34,Find Yello Directory,R49,Chefette Restaurants Ltd- Rockley,"Rockley Main Road, Christ Church",Chirst Church,78523CF6+QH,13.074438,-59.588563,Limited Service,Unhealthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Limited Service,1,0
35,1,35,Find Yello Directory,R50,Chefette Restaurants Ltd- Barbadue Barn- Rockley,"Rockley Main Road, Christ Church",Chirst Church,78523CF6+QH,13.074438,-59.588563,Limited Service,Unhealthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Limited Service,1,0
36,1,36,Find Yello Directory,R51,Chefette Restaurants Ltd-Six Roads,Six Roads. St. Philip,St. Philip,78524G8F+VH,13.117188,-59.476063,Limited Service,Unhealthy,yes,,556,557,375,St. Philip,525,235,290,St. Philip,Limited Service,1,0
37,1,37,Find Yello Directory,R52,Chefette Restaurants Ltd-Speightstown,"Speightstown, St. Peter",St. Peter,78527935+44,13.252813,-59.642187,Limited Service,Unhealthy,yes,,272,272,538,St. Peter,470,233,237,St. Peter,Limited Service,1,0
38,1,38,Find Yello Directory,R53,Chefette Restaurants Ltd-Heores Sq,"Heores Square, Broad Street, Bridgetown, St. Michael",St. Michael,785239WP+P3,13.096813,-59.614812,Limited Service,Unhealthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Limited Service,1,0
39,1,39,Find Yello Directory,R54,Chefette Restaurants Ltd-Barbeque Barn-Warrens,"Gordon Cummins Highway, St. Michael",St. Michael,785249RR+W5,13.142312,-59.609562,Limited Service,Unhealthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Limited Service,1,0
40,1,40,Find Yello Directory,R55,Chefette Restaurants Ltd-Warrens,"Gordon Cummins Highway, St. Michael",St. Michael,785249RR+W5,13.142312,-59.609562,Limited Service,Unhealthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Limited Service,1,0
41,1,41,Find Yello Directory,R56,Chefette Restaurants Ltd-Welches,"The Walk, Welches Heights, St. Thomas",St. Thomas,7852593Q+MC,13.154187,-59.611438,Limited Service,Unhealthy,yes,,227,227,485,St. Thomas,361,178,183,St. Thomas,Limited Service,1,0
42,1,42,Find Yello Directory,R57,Chefette Restaurants Ltd-Wildley,"Wildey Main Road, Christ Church",St. Michael,78523CR7+HX,13.091437,-59.585062,Limited Service,Unhealthy,yes,,139,139,164,St. Michael,425,194,231,St. Michael,Limited Service,1,0
43,1,43,Find Yello Directory,R58,Chetamra's,Culloden Road,St. Michael,78523CP9+X7,13.087438,-59.581812,Full Service,Healthy,yes,,348,349,195,Christ Churc,695,320,375,Christ Churc,Full Service,0,0
44,1,44,Find Yello Directory,R59,Chicken Barn Ltd- Bay street,"Bay Street, Bridgetown, St. Michael",St. Michael,785239VP+QM,13.094437,-59.613312,Limited Service,Unhealthy,yes,,1,1,1,St. Michael,401,193,208,St. Michael,Limited Service,1,0
45,1,45,Find Yello Directory,R60,Chicken Barn Ltd- Worthing,"Worthing Main Road, Christ Church",Christ Church,78523CC9+CX,13.071063,-59.580063,Limited Service,Unhealthy,yes,,356,357,203,Christ Churc,310,138,172,Christ Churc,Limited Service,1,0
46,1,46,Find Yello Directory,R61,Chicken Barn Ltd- Warrens,"Dome Mall, Warrens, St. Michael",St. Michael,785249RV+96,13.140937,-59.606938,Limited Service,Unhealthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Limited Service,1,0
47,1,47,Find Yello Directory,R62,Chicken Barn Ltd- Town Square Coverley,"Town Square Coverley, The Villages At Coverley, Charnocks, Christ Church",Chirst Church,78523FMX+V7,13.084688,-59.501812,Limited Service,Unhealthy,yes,,535,536,266,Christ Churc,407,200,207,Christ Churc,Limited Service,1,0
48,1,48,Find Yello Directory,R63,Chicken Barn Ltd- Wildey,"Wildey Plaza, Wildey Main Road, Wildey, St. Michael",St. Michael,78523CR9+7H,13.090687,-59.581063,Limited Service,Unhealthy,yes,,139,139,164,St. Michael,425,194,231,St. Michael,Limited Service,1,0
49,1,49,Find Yello Directory,R64,Chicken Barn Ltd- Black rock,"Highway 1, Prospect, St. Michael",St. Michael,785249M8+8V,13.133312,-59.632813,Limited Service,Unhealthy,yes,,199,199,474,St. James,340,158,182,St. James,Limited Service,1,0
50,1,50,Find Yello Directory,R66,Cliff Restaurant,"Derricks, Highway 1,  St. James",St. James,78525957+26,13.157563,-59.636938,Full Service,Healthy,yes,"Closed during covid-19 pandemic, but set to reopen july 2022",222,222,479,St. James,342,170,172,St. James,Full Service,0,0
51,1,51,Find Yello Directory,R67,Cocktail Kitchen,"St. Lawrence Gap, Oistins, Christ Church",Christ Church,78523C9F+6X,13.068062,-59.575063,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
52,0,52,Find Yello Directory,R68,Copacabana Beach Club,"Bay Street, Bridgetown, St. Michael",St. Michael,785239RQ+PM,13.091812,-59.610813,Full Service,Healthy,yes,,,,,,,,,,Full Service,0,0
53,1,53,Find Yello Directory,R72,Crave Restaurant & Bar,"St. Lawrence Gap, Oistins, Christ Church",Christ Church,78523C9G+53,13.067937,-59.574813,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
54,1,54,Google Maps,R73,Crystal Waters Beach Bar,"Sandy Beach, Worthing, Christ Church",Christ Church,78523C9C+R8,13.069562,-59.579188,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
55,1,55,Find Yello Directory,R74,Cutters of Barbados,"Diamond Valley, Crane, St. Philip",St. Philip,78524H53+G5,13.108812,-59.447063,Full Service,Healthy,yes,,493,494,380,St. Philip,182,85,97,St. Philip,Full Service,0,0
56,1,56,Find Yello Directory,R77,De Office Cafe & Bar,"Broad Street, Bridgetown, St. Michael",St. Michael,785239WM+QX,13.096937,-59.615063,Full Service,Healthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Full Service,0,0
57,1,57,Find Yello Directory,R81,D'onofrio's,"The Crane Resort, Crane, St. Philip",St. Philip,78524H43+6W,13.105562,-59.445188,Full Service,Healthy,yes,,492,493,379,St. Philip,144,71,73,St. Philip,Full Service,0,0
58,1,58,Find Yello Directory,R82,East Moon Chinese Cuisine & Bar,"Highway 1B, Little Battaleys, St. Peter",St. Peter,785269Q4+8M,13.238312,-59.643313,Limited Service,Unhealthy,yes,,580,581,546,St. Peter,339,153,186,St. Peter,Limited Service,1,0
59,1,59,Find Yello Directory,R86,Fairways Café & Bar,"Crystal Waters, 1st Avenue Worthing, Christ Church",Christ Church,78523CC9+4W,13.070313,-59.580188,Limited Service,Unhealthy,yes,Renamed: Birdies Restaurant,354,355,201,Christ Churc,182,88,94,Christ Churc,Limited Service,1,0
60,1,60,Find Yello Directory,R87,Feasters MWG,"Halls Road, Bridgetown, St. Michael",St. Michael,785239XV+PG,13.099312,-59.606188,Limited Service,Unhealthy,yes,,102,102,124,St. Michael,518,267,251,St. Michael,Limited Service,1,0
61,1,61,Find Yello Directory,R88,Fish Pot Restaurant ,"Little Good Harbour, Hotel, Shermans, St. Lucy",St. Lucy,785279C3+GH,13.271313,-59.646062,Full Service,Healthy,yes,,287,287,560,St. Lucy,233,115,118,St. Lucy,Full Service,0,0
62,1,62,Find Yello Directory,R89,Flash-N-Bar Restaurant,"Pilgrim, Christ Church",Christ Church,78523FHR+GG,13.078812,-59.508688,Limited Service,Unhealthy,yes,,536,537,269,Christ Churc,389,184,205,Christ Churc,Limited Service,1,0
63,1,63,Find Yello Directory,R90,Flash Zone Bar & Variety,"Walmer Lodge, Black Rock, St. Michael",St. Michael,785249J8+HV,13.131438,-59.632813,Limited Service,Unhealthy,yes,,582,583,17,St. Michael,244,116,128,St. Michael,Limited Service,1,0
64,1,64,Google Maps,R91,Flavrgourmet,"The Oasis, Kendal Hill, Christ Church",Chirst Church,78523CHR+HV,13.078938,-59.557813,Limited Service,Unhealthy,yes,,363,364,213,Christ Churc,380,166,214,Christ Churc,Limited Service,1,0
65,1,65,Find Yello Directory,R92,Fresh Spot,"Sheraton Mall, Sargents Village, Chirst Church",Chirst Church,78523CMM+7C,13.083188,-59.566437,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
66,1,66,Find Yello Directory,R93,Fusiliers Bar & Grill,"Fusilier Road, Gun Hill, St. George",St. George,78524CVV+82,13.143313,-59.557437,Limited Service,Unhealthy,yes,,455,456,325,St. George,691,329,362,St. George,Limited Service,1,0
67,1,67,Find Yello Directory,R94,Fusion Rooftop,"Limegrove Lifestyle Centre, Holetown, St. James",St. James,785259P7+JJ,13.186563,-59.635938,Full Service,Healthy,yes,,193,193,439,St. James,258,124,134,St. James,Full Service,0,0
68,1,68,Find Yello Directory,R95,Gloden China Restaurant,"Quayside Centre Shopping Plaza, Rockley Terrace, Christ Church",Chirst Church,78523CG6+37,13.075188,-59.589312,Limited Service,Unhealthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Limited Service,1,0
69,1,69,Find Yello Directory,R96,Good Choice Chinese Restaurant,"Holetown, St. James",St. James,785259M8+62,13.183063,-59.634937,Limited Service,Unhealthy,yes,,195,195,441,St. James,174,83,91,St. James,Limited Service,1,0
70,1,70,Find Yello Directory,R97,Grannys,"Oistins Main Road, Oistins, Christ Church",Christ Church,78523F75+F7,13.063688,-59.541812,Limited Service,Unhealthy,yes,,423,424,290,Christ Churc,323,161,162,Christ Churc,Limited Service,1,0
71,1,71,Find Yello Directory,R99,Guang Dong Chinese Restaurant & Bar,"Worthing Main Road, Christ Church",Christ Church,78523CCC+3P,13.070187,-59.578187,Limited Service,Unhealthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Limited Service,1,0
72,1,72,Find Yello Directory,R101,Happy Days Cafe,"Chattel House Village, St. Lawrence Gap, Christ Church",Chirst Church,78523C8J+XF,13.067438,-59.568812,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
73,1,73,Find Yello Directory,R102,Happy Rooster Barbeque Grill,"Highway 2, Black Rock, St. Michael",St. Michael,7852498P+H7,13.116437,-59.614313,Limited Service,Unhealthy,yes,,75,75,97,St. Michael,299,137,162,St. Michael,Limited Service,1,0
74,1,74,Find Yello Directory,R103,Harlequin Restaurant,"St. Lawrence Gap, Oistins, Christ Church",Christ Church,78523C9G+2F,13.067563,-59.573813,Full Service,Healthy,yes,,354,355,201,Christ Churc,182,88,94,Christ Churc,Full Service,0,0
75,1,75,Find Yello Directory,R104,Ho Kwong Chinese Restaurant- Dome Mall,"Dome Mall, Warrens, St. Michael",St. Michael,785249RV+F3,13.141188,-59.607312,Limited Service,Unhealthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Limited Service,1,0
76,1,76,Find Yello Directory,R107,Hoodees Sports Bar & Grill,Six Roads. St. Philip,St. Philip,78524G9C+2X,13.117563,-59.477563,Limited Service,Unhealthy,yes,,571,572,359,St. Philip,369,179,190,St. Philip,Limited Service,1,0
77,1,77,Find Yello Directory,R108,Hot Legendary Fish Cakes,"Holligan Road, Bank Hall, St. Michael",St. Michael,7852495Q+JH,13.109063,-59.611063,Limited Service,Unhealthy,yes,,90,90,112,St. Michael,390,194,196,St. Michael,Limited Service,1,0
78,1,78,Find Yello Directory,R109,Hugo's Barbados,"Sand Street, Speightstown, St. Peter",St. Peter,78527934+64,13.253063,-59.644688,Full Service,Healthy,yes,,272,272,538,St. Peter,470,233,237,St. Peter,Full Service,0,0
79,1,79,Find Yello Directory,R110,Ideal Restaurant,"2nd Floor, Bridgetown Duty Free, Bridgetown, St. Michael",St. Michael,785239WM+XW,13.097437,-59.615188,Full Service,Healthy,yes,,6,6,6,St. Michael,355,190,165,St. Michael,Full Service,0,0
80,1,80,Find Yello Directory,R111,Il Tempio Italian Restaurant,"Highway 1, Fitts Village, St. James",St. James,785249W6+9J,13.145938,-59.638438,Full Service,Healthy,yes,,329,330,478,St. James,170,84,86,St. James,Full Service,0,0
81,1,81,Find Yello Directory,R112,Indian Grill (Roti Shop),"Bay Street, Bridgetown, St. Micheal",St. Michael,785239MR+4R,13.082812,-59.607937,Limited Service,Unhealthy,yes,,126,126,148,St. Michael,158,76,82,St. Michael,Limited Service,1,0
82,1,82,Find Yello Directory,R113,Irie Kitchens Limited,"2nd Avenue, Dover, Christ Church",Christ Church,78523C8M+Q7,13.066937,-59.566813,Limited Service,Unhealthy,yes,,374,375,224,Christ Churc,237,111,126,Christ Churc,Limited Service,1,0
83,1,83,Find Yello Directory,R114,IV Play Deli,"Sheraton Mall, Sargents Village, Christ Church",Christ Church,78523CMM+49,13.082812,-59.566563,Limited Service,Unhealthy,yes,,382,383,233,Christ Churc,206,99,107,Christ Churc,Limited Service,1,0
84,1,84,Find Yello Directory,R115,Ixora Bar & Restaurant at Gloden Sands Hotel,"Golden Sands Hotel, Highway 7, Maxwell, Christ Church",Christ Church,78523C8X+P4,13.066813,-59.552188,Full Service,Healthy,yes,,378,379,228,Christ Churc,334,163,171,Christ Churc,Full Service,0,0
85,1,85,Find Yello Directory,R117,Jamaica 246,"Bay Street, Bridgetown, St. Micheal",St. Michael,785239MR+3Q,13.082688,-59.608063,Limited Service,Unhealthy,yes,,126,126,148,St. Michael,158,76,82,St. Michael,Limited Service,1,0
86,1,86,Find Yello Directory,R118,Ju Ju 's ,"Highway 1B, Mount Standfast, St. James",St. James,78526935+RX,13.204562,-59.640062,Full Service,Healthy,yes,,186,186,430,St. James,164,82,82,St. James,Full Service,0,0
87,1,87,Find Yello Directory,R119,Jumas Restaurant,"Alleynes Bay, Mount Standfast, St. James",St. James,78526946+82,13.205813,-59.639938,Full Service,Healthy,yes,,186,186,430,St. James,164,82,82,St. James,Full Service,0,0
88,1,88,Find Yello Directory,R120,Jus' Grillin'- Quayside,"Quayside Centre Shopping Plaza, Rockley, Christ Church",Christ Church,78523CG6+26,13.075062,-59.589438,Limited Service,Unhealthy,yes,,351,352,198,Christ Churc,320,146,174,Christ Churc,Limited Service,1,0
89,1,89,Find Yello Directory,R121,Jus' Grillin'- Holetown,"Highway 1, Holetown, St. James",St. James,785259M6+8M,13.183312,-59.638313,Limited Service,Unhealthy,yes,,195,195,441,St. James,174,83,91,St. James,Limited Service,1,0
90,1,90,Find Yello Directory,R123,KFC- Hastings,"Hastings Main Road, Christ Church",Christ Church,78523CF4+HF,13.073937,-59.593812,Limited Service,Unhealthy,yes,,339,340,186,Christ Churc,222,113,109,Christ Churc,Limited Service,1,0
91,1,91,Find Yello Directory,R124,KFC- Oistins,"Oistins Main Road, Christ Church",Christ Church,78523F75+C4,13.063562,-59.542188,Limited Service,Unhealthy,yes,,423,424,290,Christ Churc,323,161,162,Christ Churc,Limited Service,1,0
92,1,92,Find Yello Directory,R125,KFC-Speightstown,"Queen's Street, Speightstown, St. Peter",St. Peter,785269X4+MR,13.249187,-59.642938,Limited Service,Unhealthy,yes,,272,272,538,St. Peter,470,233,237,St. Peter,Limited Service,1,0
93,1,93,Find Yello Directory,R126,KFC- Blackrock,"Black Rock Main Road, St. Michael",St. Michael,785249GC+WQ,13.127313,-59.628062,Limited Service,Unhealthy,yes,,14,14,15,St. Michael,388,172,216,St. Michael,Limited Service,1,0
94,1,94,Find Yello Directory,R127,KFC-Warrens,"Gordon Cummins Highway, Warrens, St. Michael",St. Michael,785249RQ+MW,13.141687,-59.610187,Limited Service,Unhealthy,yes,,154,154,74,St. Michael,563,286,277,St. Michael,Limited Service,1,0
95,1,95,Find Yello Directory,R128,KFC- Collymore Rock,"Princess Royal Avenue, Upper Collymore Rock, St. Michael",St. Michael,78523CV5+93,13.093438,-59.592312,Limited Service,Unhealthy,yes,,132,132,155,St. Michael,526,235,291,St. Michael,Limited Service,1,0
96,1,96,Find Yello Directory,R131,Lancaster Great House,"Ronald Mapp Highway, St. James",St. James,7852693J+9J,13.203437,-59.618437,Full Service,Healthy,yes,,192,192,438,St. James,268,124,144,St. James,Full Service,0,0
97,1,97,Find Yello Directory,R132,La Salsa Restaurant and Bar,"Sugar Cane Club Hotel, 2nd Avenue, Sunset Heights, St. Peter",St. Peter,78527977+CP,13.263562,-59.635688,Full Service,Healthy,yes,,269,269,534,St. Peter,251,125,126,St. Peter,Full Service,0,0
98,1,98,Find Yello Directory,R133,L'azure Restaurant,"Crane Resort, Cane, St. Philip",St. Philip,78524H43+7W,13.105688,-59.445188,Full Service,Healthy,yes,,492,493,379,St. Philip,144,71,73,St. Philip,Full Service,0,0
99,1,99,Find Yello Directory,R134,Lemongrass Express,"Worthing Main Road, Christ Church",Christ Church,78523CC8+MV,13.071687,-59.582813,Limited Service,Unhealthy,yes,,352,353,199,Christ Churc,75,32,43,Christ Churc,Limited Service,1,0
